Individual,Sex,Forward_reads,Reverse_reads,Family,Sire,Dam,Treatment.control,Quality.encoding
040000M,M,040000M_1.fq,040000M_2.fq,Fam04,0,0,Sire,Illumina1.5
040711T,F,040711T_1.fq,040711T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040712C,F,040712C_1.fq,040712C_2.fq,Fam04,4,7,Control,Illumina1.5
040713T,F,040713T_1.fq,040713T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040714C,F,040714C_1.fq,040714C_2.fq,Fam04,4,7,Control,Illumina1.5
040715T,F,040715T_1.fq,040715T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040716C,M,040716C_1.fq,040716C_2.fq,Fam04,4,7,Control,Illumina1.5
040721T,M,040721T_1.fq,040721T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040723T,M,040723T_1.fq,040723T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040724C,M,040724C_1.fq,040724C_2.fq,Fam04,4,7,Control,Illumina1.5
040812C,M,040812C_1.fq,040812C_2.fq,Fam04,4,8,Control,Illumina1.5
040813T,M,040813T_1.fq,040813T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040814C,M,040814C_1.fq,040814C_2.fq,Fam04,4,8,Control,Illumina1.5
040815T,F,040815T_1.fq,040815T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040816C,M,040816C_1.fq,040816C_2.fq,Fam04,4,8,Control,Illumina1.5
040821T,M,040821T_1.fq,040821T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040822C,M,040822C_1.fq,040822C_2.fq,Fam04,4,8,Control,Illumina1.5
040823T,M,040823T_1.fq,040823T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040824C,F,040824C_1.fq,040824C_2.fq,Fam04,4,8,Control,Illumina1.5
070000F,F,070000F_1.fq,070000F_2.fq,Fam04,0,0,Dam,Illumina1.5
080000F,F,080000F_1.fq,080000F_2.fq,Fam04,0,0,Dam,Illumina1.5
050000M,M,050000M_1.fq,050000M_2.fq,Fam05,0,0,Sire,Illumina1.5
050912C,F,050912C_1.fq,050912C_2.fq,Fam05,5,9,Control,Illumina1.5
050913T,M,050913T_1.fq,050913T_2.fq,Fam05,5,9,Treatment,Illumina1.5
050914C,F,050914C_1.fq,050914C_2.fq,Fam05,5,9,Control,Illumina1.5
050915T,F,050915T_1.fq,050915T_2.fq,Fam05,5,9,Treatment,Illumina1.5
